County name,Estimated total pop
"Kent County, Delaware",192690
"New Castle County, Delaware",588093
"Sussex County, Delaware",271134
"Atlantic County, New Jersey",279114
"Burlington County, New Jersey",475515
"Camden County, New Jersey",533988
"Cape May County, New Jersey",93875
"Cumberland County, New Jersey",155678
"Gloucester County, New Jersey",311783
"Hunterdon County, New Jersey",131708
"Mercer County, New Jersey",392138
"Monmouth County, New Jersey",647520
"Morris County, New Jersey",523053
"Ocean County, New Jersey",666434
"Salem County, New Jersey",65874
"Sussex County, New Jersey",147444
"Warren County, New Jersey",112031
"Broome County, New York",196397
"Orange County, New York",411767
"Sullivan County, New York",80450
"Ulster County, New York",182977
"Berks County, Pennsylvania",439117
"Bucks County, Pennsylvania",650131
"Carbon County, Pennsylvania",65743
"Chester County, Pennsylvania",560745
"Delaware County, Pennsylvania",584882
"Lackawanna County, Pennsylvania",216859
"Lancaster County, Pennsylvania",563293
"Lebanon County, Pennsylvania",145319
"Lehigh County, Pennsylvania",385655
"Luzerne County, Pennsylvania",331379
"Monroe County, Pennsylvania",166523
"Montgomery County, Pennsylvania",879190
"Northampton County, Pennsylvania",322989
"Schuylkill County, Pennsylvania",144523
