PWSID,ZIPCODE
010106001,06338
010109005,06382
020000005,13655
020000008,14070
020000008,14081
020000008,14091
020000008,14129
040000002,36502
043740039,28719
050593203,48658
055293201,48858
055293603,49690
055293611,49896
055293702,49660
055294301,56359
055294502,55089
055294503,56270
055294506,55372
055295003,54416
055295401,54538
055295508,54135
055295703,54155
061000101,74370
061020808,74804
061620001,78852
061800001,71351
062004336,73459
062005840,74363
063500120,87052
063500191,87571
063501100,87506
063501109,87022
063501109,87042
063501109,87068
063501109,87105
063501124,87327
063503109,87022
063503109,87105
063503111,87026
063503115,87001
063503118,87004
063506008,88340
063506111,87121
063506114,87004
070000003,52339
083890023,58316
083890023,58329
083890023,58367
083890023,58369
083890025,58370
084690020,57572
084690474,57752
084690475,57770
084690480,57764
084690510,57621
084690510,57639
084690510,57642
084690510,57658
084690510,58528
084690510,58538
084690510,58568
084690510,58570
084690516,57555
084690516,57560
084690516,57579
084690516,57585
084690528,57555
084690528,57563
084690528,57566
084690528,57570
084690532,57555
085690003,82514
085690003,82520
090400020,85321
090400020,85634
090400042,85634
090400047,85128
090400047,85147
090400051,85344
090400051,85371
090400063,86437
090400088,85264
090400089,92283
090400090,85138
090400090,85139
090400106,86042
090400109,85250
090400109,85256
090400114,85530
090400114,85542
090400114,85550
090400117,86301
090400117,86322
090400345,85226
090400692,85226
090400692,85339
090400693,85911
090400693,85930
090400693,85935
090400693,85941
090400703,85250
090400703,85256
090400703,85258
090400707,85256
090400708,85256
090600052,96021
090600058,95667
090600119,92040
090600127,95441
090600142,92220
090600147,92082
090600154,93626
090600158,91901
090600237,92363
090605012,92061
090605013,92593
090605024,92019
090605047,95932
090605107,95606
090605109,95642
090605126,95546
090605136,93245
090605153,92059
090605161,95648
090605163,93614
090605172,95692
090605174,94928
101600009,83201
101600009,83202
101600009,83204
101612109,83201
101612109,83202
101612109,83203
101612109,83221
104121115,97347
105300003,98271
105300019,98590
105300116,98271
105338108,98221
105388889,98382
AK2110342,99801
AK2110601,99840
AK2120232,99901
AK2130075,99835
AK2210605,99516
AK2210906,99501
AK2210906,99502
AK2210906,99503
AK2210906,99504
AK2210906,99507
AK2210906,99508
AK2210906,99515
AK2210906,99516
AK2210906,99517
AK2210906,99567
AK2210906,99577
AK2211423,99506
AK2212039,99505
AK2218653,99587
AK2224646,99654
AK2226020,99645
AK2240448,99611
AK2240456,99603
AK2240757,99664
AK2241054,99669
AK2250011,99615
AK2260309,99685
AK2260309,99692
AK2293205,99574
AK2298103,99686
AK2310675,99705
AK2310683,99775
AK2310730,99701
AK2310730,99702
AK2310730,99705
AK2310730,99706
AK2310730,99707
AK2310730,99708
AK2310730,99709
AK2310730,99710
AK2310730,99711
AK2310730,99712
AK2310730,99714
AK2310730,99716
AK2310730,99767
AK2310730,99775
AK2310730,99790
AK2310900,99701
AK2310900,99705
AK2310900,99706
AK2310900,99707
AK2310900,99708
AK2310900,99709
AK2310900,99710
AK2310900,99711
AK2310900,99712
AK2310900,99716
AK2310900,99775
AK2310918,99703
AK2320078,99723
AK2340010,99762
AK2370625,99702
AK2370798,99731
AK2390594,99755
AL0000001,36068
AL0000013,36051
AL0000017,36066
AL0000017,36067
AL0000017,36068
AL0000023,36507
AL0000023,36550
AL0000023,36578
AL0000025,36526
AL0000025,36532
AL0000025,36551
AL0000029,36526
AL0000035,36532
AL0000036,36511
AL0000036,36530
AL0000036,36535
AL0000036,36555
AL0000038,36542
AL0000048,36551
AL0000053,36530
AL0000053,36561
AL0000061,36567
AL0000068,36527
AL0000076,36507
AL0000076,36527
AL0000079,36016
AL0000079,36017
AL0000079,36027
AL0000079,36048
AL0000079,36310
AL0000079,36317
AL0000083,36017
AL0000085,36027
AL0000089,36016
AL0000089,36053
AL0000091,35034
AL0000091,35042
AL0000092,35035
AL0000092,35042
AL0000092,35115
AL0000092,36792
AL0000092,36793
AL0000093,35074
AL0000093,35111
AL0000093,35184
AL0000093,35188
AL0000097,35184
AL0000100,35031
AL0000101,35049
AL0000103,35049
AL0000103,35121
AL0000103,35133
AL0000103,35146
AL0000104,35049
AL0000104,35097
AL0000104,35133
AL0000104,35172
AL0000108,35031
AL0000108,35121
AL0000108,35952
AL0000117,36005
AL0000117,36029
AL0000117,36052
AL0000117,36053
AL0000117,36081
AL0000117,36089
AL0000117,36860
AL0000118,36089
AL0000125,36037
AL0000131,35905
AL0000131,36206
AL0000131,36207
AL0000131,36250
AL0000131,36265
AL0000131,36271
AL0000131,36272
AL0000131,36277
AL0000131,36279
AL0000133,36201
AL0000133,36202
AL0000133,36203
AL0000133,36205
AL0000133,36206
AL0000133,36207
AL0000133,36260
AL0000154,36265
AL0000162,35096
AL0000162,35160
AL0000162,36201
AL0000162,36203
AL0000162,36207
AL0000162,36257
AL0000162,36260
AL0000162,36268
AL0000164,36272
AL0000168,36250
AL0000168,36277
AL0000174,36274
AL0000174,36852
AL0000174,36854
AL0000174,36855
AL0000174,36862
AL0000174,36863
AL0000177,36863
AL0000178,36862
AL0000179,36863
AL0000180,36801
AL0000180,36854
AL0000187,35959
AL0000189,35960
AL0000189,35983
AL0000189,36272
AL0000213,35045
AL0000213,35046
AL0000219,35085
AL0000229,35171
AL0000232,36904
AL0000234,35040
AL0000234,35045
AL0000234,35046
AL0000234,35085
AL0000234,35115
AL0000234,35171
AL0000234,36006
AL0000234,36051
AL0000234,36091
AL0000234,36750
AL0000234,36758
AL0000234,36790
AL0000234,36792
AL0000237,36904
AL0000237,36908
AL0000237,36919
AL0000237,36921
AL0000243,36912
AL0000255,36451
AL0000256,36545
AL0000257,36451
AL0000257,36482
AL0000257,36540
AL0000257,36545
AL0000262,36784
AL0000264,36251
AL0000279,36264
AL0000296,36323
AL0000296,36330
AL0000296,36331
AL0000296,36351
AL0000314,35616
AL0000314,35646
AL0000314,35653
AL0000314,35661
AL0000314,35672
AL0000314,35674
AL0000316,35674
AL0000320,35654
AL0000320,35674
AL0000321,35661
AL0000321,35662
AL0000321,35674
AL0000327,35660
AL0000329,35646
AL0000329,35654
AL0000329,35661
AL0000329,35674
AL0000331,35674
AL0000338,36401
AL0000354,35151
AL0000356,36420
AL0000361,36420
AL0000361,36421
AL0000361,36467
AL0000361,36474
AL0000361,36483
AL0000361,36720
AL0000361,36723
AL0000375,36467
AL0000393,36401
AL0000393,36421
AL0000393,36432
AL0000393,36456
AL0000393,36474
AL0000394,35019
AL0000394,35033
AL0000394,35053
AL0000394,35055
AL0000394,35057
AL0000394,35058
AL0000394,35077
AL0000394,35083
AL0000394,35098
AL0000394,35179
AL0000394,35621
AL0000394,35622
AL0000394,35640
AL0000397,36009
AL0000397,36028
AL0000397,36035
AL0000397,36049
AL0000397,36323
AL0000402,35019
AL0000402,35055
AL0000402,35058
AL0000402,35083
AL0000402,35087
AL0000406,35077
AL0000409,35087
AL0000413,35057
AL0000413,35058
AL0000413,35098
AL0000413,35179
AL0000413,35619
AL0000413,35622
AL0000413,35641
AL0000413,35650
AL0000415,36302
AL0000415,36311
AL0000415,36317
AL0000415,36345
AL0000415,36350
AL0000415,36352
AL0000415,36353
AL0000415,36360
AL0000415,36374
AL0000420,36322
AL0000436,36322
AL0000436,36330
AL0000441,36360
AL0000441,36361
AL0000441,36362
AL0000463,36703
AL0000482,36701
AL0000482,36702
AL0000482,36703
AL0000482,36749
AL0000482,36758
AL0000490,36701
AL0000490,36702
AL0000490,36703
AL0000491,36701
AL0000491,36759
AL0000491,36767
AL0000491,36773
AL0000500,36701
AL0000500,36703
AL0000500,36761
AL0000500,36775
AL0000500,36785
AL0000506,35961
AL0000509,35967
AL0000533,36024
AL0000533,36078
AL0000535,36020
AL0000535,36022
AL0000535,36025
AL0000535,36054
AL0000535,36092
AL0000537,36078
AL0000539,36054
AL0000540,36022
AL0000540,36051
AL0000540,36092
AL0000547,35136
AL0000547,36024
AL0000547,36026
AL0000547,36078
AL0000547,36080
AL0000547,36092
AL0000547,36093
AL0000548,36078
AL0000549,36054
AL0000551,36092
AL0000553,36502
AL0000555,36426
AL0000555,36427
AL0000561,36502
AL0000566,36426
AL0000570,36426
AL0000572,35954
AL0000575,35903
AL0000575,35905
AL0000575,36272
AL0000577,35901
AL0000577,35902
AL0000577,35903
AL0000577,35904
AL0000577,35905
AL0000577,35906
AL0000577,35907
AL0000578,35903
AL0000578,35905
AL0000580,35904
AL0000580,35954
AL0000580,35961
AL0000581,35903
AL0000582,35952
AL0000582,35954
AL0000582,35956
AL0000582,35957
AL0000582,35972
AL0000587,35901
AL0000588,35906
AL0000591,35907
AL0000594,35555
AL0000596,35542
AL0000596,35546
AL0000596,35549
AL0000596,35555
AL0000597,35555
AL0000606,35581
AL0000607,35582
AL0000607,35645
AL0000610,35585
AL0000610,35653
AL0000610,35654
AL0000610,35674
AL0000622,36313
AL0000622,36314
AL0000622,36316
AL0000622,36318
AL0000622,36322
AL0000622,36340
AL0000622,36344
AL0000624,35645
AL0000624,36344
AL0000628,36477
AL0000629,36375
AL0000657,36310
AL0000663,36310
AL0000663,36312
AL0000663,36317
AL0000663,36319
AL0000663,36345
AL0000663,36353
AL0000663,36373
AL0000663,36376
AL0000664,36345
AL0000671,36312
AL0000671,36370
AL0000677,36301
AL0000677,36312
AL0000677,36320
AL0000677,36343
AL0000681,36301
AL0000681,36303
AL0000681,36305
AL0000681,36312
AL0000681,36321
AL0000681,36345
AL0000681,36350
AL0000681,36352
AL0000702,36301
AL0000702,36305
AL0000702,36352
AL0000702,36375
AL0000713,35740
AL0000717,35746
AL0000717,35768
AL0000717,35776
AL0000728,35755
AL0000728,35765
AL0000728,35769
AL0000728,35967
AL0000729,35768
AL0000729,35769
AL0000732,35772
AL0000737,35020
AL0000737,35023
AL0000738,35004
AL0000738,35005
AL0000738,35023
AL0000738,35060
AL0000738,35061
AL0000738,35062
AL0000738,35064
AL0000738,35068
AL0000738,35071
AL0000738,35073
AL0000738,35080
AL0000738,35091
AL0000738,35094
AL0000738,35116
AL0000738,35118
AL0000738,35126
AL0000738,35127
AL0000738,35133
AL0000738,35172
AL0000738,35180
AL0000738,35203
AL0000738,35204
AL0000738,35205
AL0000738,35206
AL0000738,35207
AL0000738,35208
AL0000738,35209
AL0000738,35210
AL0000738,35211
AL0000738,35212
AL0000738,35213
AL0000738,35214
AL0000738,35215
AL0000738,35216
AL0000738,35217
AL0000738,35218
AL0000738,35221
AL0000738,35222
AL0000738,35223
AL0000738,35224
AL0000738,35226
AL0000738,35228
AL0000738,35233
AL0000738,35234
AL0000738,35235
AL0000738,35242
AL0000738,35243
AL0000738,35244
AL0000738,35294
AL0000748,35005
AL0000748,35073
AL0000748,35214
AL0000751,35094
AL0000751,35210
AL0000751,35213
AL0000753,35004
AL0000753,35094
AL0000753,35242
AL0000755,35005
AL0000755,35060
AL0000755,35118
AL0000755,35224
AL0000761,35120
AL0000761,35146
AL0000761,35173
AL0000761,35210
AL0000761,35235
AL0000763,35023
AL0000763,35111
AL0000773,35544
AL0000773,35552
AL0000773,35563
AL0000773,35574
AL0000773,35576
AL0000773,35586
AL0000773,35592
AL0000777,35630
AL0000783,35630
AL0000783,35631
AL0000783,35633
AL0000783,35634
AL0000783,35645
AL0000789,35652
AL0000794,35617
AL0000794,35633
AL0000794,35634
AL0000794,35677
AL0000798,35650
AL0000801,35618
AL0000801,35650
AL0000801,35651
AL0000801,35654
AL0000801,35672
AL0000804,36832
AL0000805,36804
AL0000805,36830
AL0000805,36874
AL0000814,36830
AL0000814,36832
AL0000814,36850
AL0000814,36860
AL0000814,36865
AL0000814,36879
AL0000816,36801
AL0000820,36801
AL0000820,36804
AL0000820,36867
AL0000820,36868
AL0000820,36870
AL0000820,36874
AL0000820,36877
AL0000824,35611
AL0000824,35612
AL0000824,35613
AL0000824,35614
AL0000824,35671
AL0000833,35611
AL0000833,35612
AL0000833,35613
AL0000833,35614
AL0000833,35620
AL0000833,35647
AL0000833,35652
AL0000833,35671
AL0000833,35742
AL0000833,35749
AL0000833,35756
AL0000833,35758
AL0000867,36029
AL0000867,36031
AL0000867,36039
AL0000867,36064
AL0000867,36075
AL0000867,36078
AL0000867,36083
AL0000867,36087
AL0000867,36089
AL0000867,36444
AL0000867,36801
AL0000867,36802
AL0000867,36803
AL0000867,36804
AL0000867,36830
AL0000867,36831
AL0000867,36832
AL0000867,36849
AL0000867,36860
AL0000867,36865
AL0000867,36866
AL0000867,36867
AL0000870,36083
AL0000870,36087
AL0000870,36088
AL0000878,35742
AL0000878,35749
AL0000878,35757
AL0000878,35773
AL0000878,35806
AL0000882,35801
AL0000882,35802
AL0000882,35803
AL0000882,35804
AL0000882,35805
AL0000882,35806
AL0000882,35807
AL0000882,35809
AL0000882,35810
AL0000882,35811
AL0000882,35812
AL0000882,35813
AL0000882,35814
AL0000882,35815
AL0000882,35816
AL0000882,35824
AL0000882,35893
AL0000882,35894
AL0000882,35895
AL0000882,35896
AL0000882,35897
AL0000882,35899
AL0000885,35756
AL0000885,35757
AL0000885,35758
AL0000888,35739
AL0000888,35741
AL0000888,35748
AL0000888,35749
AL0000888,35750
AL0000888,35759
AL0000888,35760
AL0000888,35761
AL0000888,35763
AL0000888,35773
AL0000888,35776
AL0000888,35810
AL0000888,35811
AL0000893,35760
AL0000897,35763
AL0000899,35898
AL0000905,35756
AL0000908,36732
AL0000914,36748
AL0000924,35563
AL0000924,35594
AL0000926,35570
AL0000930,35594
AL0000933,35950
AL0000933,35951
AL0000934,35016
AL0000934,35175
AL0000934,35670
AL0000934,35754
AL0000934,35976
AL0000935,35951
AL0000935,35962
AL0000936,35957
AL0000940,35956
AL0000940,35957
AL0000940,35976
AL0000940,35980
AL0000943,35976
AL0000945,35747
AL0000945,35760
AL0000945,35769
AL0000945,35776
AL0000945,35976
AL0000947,35956
AL0000947,35957
AL0000957,36509
AL0000957,36523
AL0000957,36541
AL0000957,36544
AL0000967,36513
AL0000967,36522
AL0000967,36556
AL0000967,36575
AL0000971,36528
AL0000983,36541
AL0000993,36521
AL0000993,36571
AL0000993,36613
AL0000994,36505
AL0000994,36525
AL0001002,36523
AL0001002,36541
AL0001002,36544
AL0001002,36582
AL0001002,36590
